Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,1.0,0.6093127423251115,0.39068725767488854,1.0,0.7358402971216341,0.2641597028783659,1.0,0.4562807881773399,0.5437192118226601,0.0,0.7986561203268729,-0.7986561203268729,0.8592058259264046,0.6535729628918835,0.2056328630345211,0.8592058259264046,0.6838051616649297,0.17540066426147494,1.0,0.2256,0.7744,1.0,1.0,0.0,0.7814500000000001
1,1.0,0.6093547248357459,0.39064527516425407,1.0,0.7431870669745958,0.2568129330254042,1.0,0.43475572047000616,0.5652442795299939,0.0,0.7987080799854601,-0.7987080799854601,0.8592076821672631,0.653588268250383,0.2056194139168801,0.8592076821672631,0.6838043046285935,0.17540337753866952,1.0,0.22509225092250923,0.7749077490774907,1.0,1.0,0.0,0.7814500000000001
2,1.0,0.6093417939335012,0.3906582060664988,1.0,0.7232789855072463,0.27672101449275366,1.0,0.45318352059925093,0.5468164794007491,0.0,0.7988698510394394,-0.7988698510394394,0.8592179914683081,0.6535288186249206,0.2056891728433875,0.8592179914683081,0.6837409820748974,0.1754770093934107,1.0,0.22592399791775117,0.7740760020822488,1.0,1.0,0.0,0.7814500000000001
3,1.0,0.6093731960689988,0.39062680393100124,1.0,0.7286892758936755,0.2713107241063245,1.0,0.45594577942082565,0.5440542205791743,0.0,0.7981459421786632,-0.7981459421786632,0.8592144940072725,0.6536053987679276,0.2056090952393449,0.8592144940072725,0.6837512960679494,0.17546319793932308,1.0,0.22693920335429768,0.7730607966457024,1.0,1.0,0.0,0.78145
4,1.0,0.6092993389715594,0.3907006610284406,1.0,0.7245622337908187,0.27543776620918126,1.0,0.46086412022542267,0.5391358797745773,0.0,0.7989643588876135,-0.7989643588876135,0.8592118243089091,0.6535519480608165,0.20565987624809257,0.8592118243089091,0.6837984581639441,0.17541336614496494,1.0,0.23852242744063323,0.7614775725593668,1.0,1.0,0.0,0.78145
5,1.0,0.6093653486700695,0.39063465132993047,1.0,0.7290818634102216,0.27091813658977837,1.0,0.4479553903345725,0.5520446096654275,0.0,0.7983878027159826,-0.7983878027159826,0.8592031123456166,0.6535385973824894,0.2056645149631272,0.8592031123456166,0.6837339940223476,0.17546911832326906,1.0,0.22637590861889928,0.7736240913811008,1.0,1.0,0.0,0.7814500000000001
6,1.0,0.6093503988757843,0.39064960112421565,1.0,0.7230841560883874,0.2769158439116126,1.0,0.44324324324324327,0.5567567567567567,0.0,0.7982370534241265,-0.7982370534241265,0.859212689059226,0.6535527692015791,0.20565991985764687,0.859212689059226,0.6836810460110057,0.17553164304822033,1.0,0.21410057024364956,0.7858994297563504,1.0,1.0,0.0,0.7814500000000001
7,1.0,0.6093009386144276,0.3906990613855724,1.0,0.7388445279473932,0.2611554720526068,1.0,0.44789762340036565,0.5521023765996343,0.0,0.7981458369569981,-0.7981458369569981,0.8592067591518203,0.6535459362629398,0.20566082288888055,0.8592067591518203,0.6837367083040015,0.17547005084781886,1.0,0.23012111637704055,0.7698788836229594,1.0,1.0,0.0,0.78145
8,1.0,0.6093182464223229,0.3906817535776771,1.0,0.7164040778498609,0.28359592215013907,1.0,0.4695493300852619,0.5304506699147381,0.0,0.7984726433861453,-0.7984726433861453,0.8592125863312061,0.653567137632388,0.20564544869881807,0.8592125863312061,0.6837957423307096,0.1754168440004965,1.0,0.23001038421599168,0.7699896157840083,1.0,1.0,0.0,0.78145
9,1.0,0.6093248361907675,0.3906751638092325,1.0,0.732574679943101,0.267425320056899,1.0,0.4560975609756098,0.5439024390243903,0.0,0.7982577513931818,-0.7982577513931818,0.8592008181597468,0.6535409450570783,0.20565987310266853,0.8592008181597468,0.6837029884239516,0.1754978297357952,1.0,0.2328767123287671,0.7671232876712328,1.0,1.0,0.0,0.7814500000000001
